I will go.,जि वने त्यना ।
I am sad.,जिगु नुगः मछिन ।
I am at home.,जि छेँय् दु ।
I like to drink.,जितः त्वने मास्तिवल ।
I live in Kathmandu.,जि येँय् च्वंच्वना ।
I like to have a cup of tea.,जित छगू कप च्या त्वने मास्ति व: ।
he is my best friend.,व जिम्ह बांलाःम्ह पासा खः ।
I like to go to the cinema hall.,जितः सिनेमा हलय् वने य: ।
Name: DVD Name Mostar and can rename it.,नां : डीभीडी नां मोस्टर व वयागु नां हीके ज्यू ।
Your real life partner is your body.,छिगु बास्तविक जीवनया पासा धयागु हे छिगु शरिर ख: ।
That movie brought me tears in my eye.,व संकिपा स्वयाः जिगु मिखां ख्वबि हाल ।
I could not control laughing while watching the movie.,जिं प्याखं स्वस्वं न्हिले पिये मफुत ।
I could not control laughing while watching the movie.,संकिपा स्वस्वं जिं थःगु न्हिला दिके मफुत ।
"Console her, she is crying.","व ख्वयाच्वन, वैत ह्ययेकि ।"
My friend made me cry.,जिमि पासां जितः ख्वयेकल ।
I am wiping her tears.,जिं वयागु ख्वबि हुयाच्वना ।
Never let her cry.,वयात गुब्लें नं ख्वयेके मते ।
Why did you make her cry.?,वयात छिं छाय् ख्वयेका दियागु ?
Never let tears come to her eye.,वयात गुब्लें नं ख्वयेका दी मते ।
Never let tears come to her eye.,वयागु मिखाय् गुब्लें नं ख्वबि हायेके बी मते ।
It is tears of joy.,थ्व लसतां जाःगु ख्वबि ख: ।
My sister shed tears of joy when she heard the good news.,जिमि केहेँचं भिंगु बुखँ न्यनाः लसतां जाःगु ख्वबि हायेकल ।
My mother burst into tears after seeing me.,जिमि मां जितः खनेवं ख्वया दिल ।
My mother burst into tears after seeing me.,जित खनेवं जिमि मामं ख्वबि हायेका दिल ।
"If you like what you see, click here.",छिं छु खंकादिया छितः यल धाःसा थन तियादिसँ ।
"If you like what you see, click here.","छिं छुं स्वयादियाः छितः यलधाःसा, थन तियादिसँ ।"
One day I will shatter his arrogance.,छन्हु जिं वयागु अहंकार चकनाचुर याये तिनि ।
His arrogance has shattered.,वयागु अहंकार चकनाचुर जुल ।
I am joking.,जिं ख्याः यानाच्वना ।
I will meet you again.,जिं छितः हाकनं नाप लाये ।
The game has finished.,थ्व कासा क्वचाल ।
The game is finished.,कासा क्वचाल ।
The game has ended.,कासा क्वचाःगु जुल ।
The game is ended.,कासा क्वचाल ।
The game was over.,कासा क्वचाल ।
The game is over.,कासा क्वचाःगु ख: ।
The game is completed.,थ्व कासा पूवंक क्वचाल ।
The game is not playing today because of the Rain.,थौं वा वःगुलिं कासा मन्ह्यात ।
The game has been postponed today.,थौं कासा लिछ्यात ।
The library is open.,सफुकुथि चाःगु दु ।
The library is not open.,सफूकुथि चाःगु मदु ।
The library is not yet open.,सफूकुथिइ आः तक नं चाःगु मदु ।
Why the library is not open today?,थौं सफूकुथि छाय् मचाःगु ?
I will go early.,जि याकनं हे वने ।
Today I will go early.,जि थौं न्हापां वने ।
I like her.,जितः व यः ।
I do not want to marry her.,जि वनाप इहिपाः याये मयः ।
I am not going to marry her.,जि वलिसे इहिपाः याये त्यनागु मदु ।
I do not like to marry her.,जि वलिसे इहिपाः याये मास्ति मवः ।
He is satisfied.,व संतुष्ट जुल ।
He is satisfied.,वय्‌कः सन्तुष्ट जुल ।
He is my brother.,व जिमि दाजु खः ।
He is my brother.,व जिमि किजा खः ।
I like to drink alcohol.,जितः अय्‌लाः त्वने य: ।
I am happy today.,थौं जि लय्‌ताः । 
Why are you sad ?,छि छाय् नुगः मछिंका दिया ?
Why you are sad today ?,थौं छि छाय नुगः मछिंका दिया ?
I am watching movie.,जि संकिपा स्वयाच्वना ।
I am going to see movie.,जि संकिपा स्वयेत वनाच्वना ।
My love,जिमि यःम्ह 
My lovely friend,जिमि यःम्ह पासा 
My boy,जिमि पुता 
My boy,जिमि मचा
My son,जिमि पुता
My son,जिमि काय्
My teacher,जिमि स्यनामि
My teacher,जिमि गुरु
Identity,म्हसीका
Identify,म्हसीके
Identify yourself.,छिगु म्हसीका बियादिसँ ।
My babe,जिमि यःम्ह
My baby,जिमि पुता
My baby,जिमि मचा
My TV is not working.,जिगु टिभी चले मजुया च्वन ।
My TV is not working.,जिगु टिभिं ज्या यानाच्वंगु मदु ।
My TV is not working.,जिगु टिभिं ज्या यानाच्वंगु मदु ।
My daughter,जिमि म्ह्याय्
I am going to repair the TV.,जिं टिभी भिंके त्यनागु दु ।
I am going to repair the TV.,जिं टिभी दयेके त्यनागु दु ।
I have very old TV.,जिके तसकं पुलांगु टिभी दु ।
My TV is very old but good.,जिगु टिभी पुलांगु जूसां बांलाः ।
Please mention your qualification.,छिगु योग्यता धयादिसँ ।
Call me after one hour.,जितः छघौ लिपा स्वापू तयादिसँ ।
Call me after one hour.,जितः छघौ लिपा फोन यानादिसँ ।
I played football while in school.,जि ब्वनेकुथी ब्वनाबलय् भकुंग्वारा कासा म्हिता ।
I played football in school.,जि ब्वनेकुथी भकुंग्वारा कासा म्हिता ।
The story of the past life of Lord is called Buddha Jataka tale.,भगवान बुद्धयागु न्हापायागु जन्मया बाखंयात जातक बाखं धाइ ।
The legend of the merchant Simhal is known as Valahassa Jataka.,सिंहल सार्थबाहा बंजाःया बाखंयात वालाहासा जातक धकाः धाइ ।
"According to the story, Simhal Sharthabaha went on a business trip with 500 other merchants.",थुगु बाखं कथं सिंहल सार्थबाहा ५०० सः बंजाःतय्‌गु पुचः मुंकाः ब्यापार याःवंगु जुल ।
I am a Doctor.,जि छम्ह डाक्टर खः ।
I eat fruit.,जिं सिसाबुसा नये ।
I eat fruit.,जिं फलफुल नये ।
it eats rats.,थ्वं छुँ नइ ।
Drink lots of water every day.,न्हिं न्हिं यक्व ल: त्वँ ।
I drink wine.,जिं थ्वँ त्वने ।
I drink wine.,जिं अय्‌लाः त्वने ।
I got drunk.,जित अय्‌लाखं काल ।
I am drinking milk.,जिं दुरु त्वनाच्वना ।
Who drink all the milk ?,सुनां फुकं दुरु त्वन ?
Who drink all the milk ?,मुकं दुरु सुनां त्वन ?
Looks like he's drunk.,व अय्‌लाखं काः थें च्वं ।
she is drinking water from a stone spout.,वं ल्वहंहितिं ल: त्वनाच्वंगु दु ।
a child drinks mother's milk.,मचां मांयागु दुरु त्वनी ।
I am watching a movie.,जि संकिपा स्वयाच्वना ।
I am watching a movie.,जि प्याखं स्वयाच्वना ।
That movie made me cry.,व प्याखनं जितः ख्वयेकल ।
That movie brought me tears in my eye.,व संकिपां यानाः जिगु मिखां ख्वबि हाल ।
I could not control laughing while watching the movie.,जिं प्याखं स्वस्वं न्हिले पी मफुत ।
I could not control laughing while watching the movie.,संकिपा स्वस्वं जिं थःगु न्हिला दिके मफुत ।
"Console her, she is crying.","व ख्वया च्वन, वैत ह्ययेकि ।"
My friend made me cry.,जिमि पासां जितः ख्वयेकल ।
I am wiping her tears.,जिं वयागु ख्वबि हुयाच्वना ।
Never let her cry,वयात गुब्लें नं ख्वयेके मते ।
Why did you make her cry ?,वयात छिं छाय् ख्वयेका दियागु ?
Never let tears come to her eye,वयात गुब्लें नं वया मिखाय् ख्वबि वयेके बी मते ।
Never let tears come to her eye.,वयागु मिखां गुब्लें नं ख्वबि हायेके बी मते ।
It is tears of joy.,थ्व लसतां जाःगु ख्वबि ख: ।
My sister shed tears of joy when she heard the good news.,जिमि केहेँचं भिंगु बुखँ न्यनाः लसतां जाःगु ख्वबि हायेकल ।
My mother burst into tears after seeing me.,जिमि मां जितः खनेवं ख्वयादिल ।
My mother burst into tears after seeing me.,जितः खनेवं जिमि मामं ख्वबि हायेका दिल ।
"If you like what you see, click here.",छिं छु खंकादिया छितः यल धाःसा थन तियादिसँ ।
"If you like what you see, click here.","छिं छु स्वयादिया छितः यल धाःसा, थन तियादिसँ ।"
One day I will shatter his arrogance.,छन्हु जिं वयागु अहंकार चकनाचुर याये तिनि ।
His arrogance has shattered.,वयागु अहंकार चकनाचुर जुल ।
I am joking.,जिं ख्याः यानाच्वना ।
I will meet you again.,जिं छितः हाकनं नाप लाये ।
"Lost in thought, he looked into the eyes of women",बिचालय् दुबिनाः वं मिसायागु मिखाय् स्वल ।
Thinking he looked into the woman's eyes.,बिचाः यायां वं मिसायागु मिखाय् स्वल ।
She is my friend.,व जिमि पासा ख: ।
Unplug the unit from the outlet when not in use and when cleaning.,ज्या मदइबलय् व सुचुकुचु यायेबलय् आउट लेटया यूनिटयात छुटे यानादिसँ ।
You should complete the above procedure before attempting the second part of Step 2., २ गूगु पलाःया निगूगु ब्बयात ह्याके न्ह्यः च्वय्‌या प्रक्रिया पूवंके मा: l
"Finally, I could save that file to the drive we are using.","लिपतय्, जिं फाईलयात झीसं ज्या यानाच्वनागु ड्राइभय् बचे यायेफत ।"
Printed Home Textile Magic Compressed Towel.,छेँय् ज्या ख्यलय दइगु कापः भुलांज्या ध्वानातःगु रुमाल 
After dinner I do homework for a little while.,ब्यलि यायेधुंकाः जि पलख होमवर्क याये ।
"After rinsing, screw the privacy pin through the rosette, into the latch.","सफा यायेधुंकाः, रोसेटया माध्यमं चुकू तयाः दुबिस्ता संकेत हीका दिसँ l"
"Screw the privacy pin through the rosette, into the latch.",दुबिस्ता सिगनल रोसेटिया माध्यमं चुकू तयाः हिकादिसँ l
You think that the woman has gone blind.,छं स्वयेबलय् छु थ्व मिसा कां जूगु खः ।
Perhaps the biggest disadvantage to communities are teenage boredom.,सायद समुदायया नितिं दकसिबय् बांमलाःगु खँ ल्याय्‌म्हतय्‌गु उदासीनता ख: l
Oh my Friend,ओहो जिमि पासा 
He looked at the woman thoughtfully.,वं तस्कं बिचाः यानाः व मिसायात स्वल ।
"When in not use, unplug the filter outlet weight unit.",छ्यले मतःबलय् फिल्टर आउटलेटया भार इकाईयात अनप्लग यानादिसँ ।
How can the Lord save us from suffering?,झीत दुःखं गथे यानाः द्यवं बचय याना बिज्याइ ?
I cannot finish speaking.,जिं खँ क्वचायेके मफया च्वन ।
There are four great ocean.,प्यंगू त:धंगु समुद्र दु ।
People will forget what you said.,छिं धयादीगु खँ मनूतय्‌सं ल्वःमंकी ।
please explain for me.,जित: थुइका बियादिसँ ।
He can manifest holy power.,वय्‌कलं पवित्र शक्तिं प्रकट यानादी फु ।
I do it for saving the ferry.,जिं दुंगायात बचे यायेत थथे यानागु खः ।
The Universe is a vast body.,ब्रह्माण्ड छगू विशाल पिण्ड ख: ।
I will save all of them.,जिं सकसितं रक्षा याये ।
The sky rain down wonderful flower.,सर्गतं वा वइ थें अदभूत स्वां कुतुं वल ।
Bhagwan accepted the Lotus.,भगवानं पलेस्वां स्विकार याना बिज्यात ।
Avalokitesvara came to save the people.,मनूतय्‌त रक्षा यायेत अवलोकितेश्वर बिज्यात ।
Avalokitesvara came to save living beings.,प्राणीतय्‌त रक्षा यायेत अवलोकितेश्वर बिज्यात ।
The source of all existence.,मुक्कं अस्तित्वया स्रोत
Inside the city there were hungry ghost.,देसय् दुने पित्याःपिं ख्याः दयाच्वन ।
You should complete the process before step 2.,पलाः २ न्ह्यव छिं प्रक्रिया पूवंके माः ।
"Lastly, you can use drive consent file to ensure.","लिपतय्, पक्का यायेत छिं ड्राइभ कन्सेंट फाईल छ्यले फु ।"
"Lastly, you can use the drive consent file to ensure your savings.","लिपतय्, छिं छिगु बचत पक्का यायेत ड्राइभ कन्सेंट फाईल छ्यले फु ।"
Printed Home Fabric Magic Compressed Towel.,ध्वानातःगु छेँय् ज्याख्यलय् याइगु कापः क्वचिंगु भुलांज्या रुमाल
My homework started at some point in the past.,जिगु होमवर्क छुं ई न्ह्यवंनिसें शुरु यानागु जुल ।
your parents are around the house.,छिगु मांबाः सकलें छिगु छेँ जःखः दइ ।
I want to ask you a question.,जिं छितः छुं न्ह्यसः न्यने मास्ति वः l
I have a question to ask you.,छितः न्यनेत जिके न्ह्यसः दु ।
It's one thirty at night.,चान्हसिया छताः व सुइगू मिनेट जुल ।
It's one thirty at night.,चान्हसिया छताःत्या ई जुल ।
Screw the privacy pin through the rosette into the latch.,दुबिस्ता सिगनल रोसेटिया माध्यमं चुकू तयाः हीका दिसँ l
I like to sing.,जितः मे हाले य ।
Does Kate work in a travel agency?,केट ट्रावेल एजेन्सी ज्या याइगु खःला ?
dog barking loudly.,खिचा तसकं उयाच्वन ।
I killed a chicken with a knife.,जिं चक्कुं खा स्याना ।
Be Happy.,खुशी जु ।
She is my grandmother.,वय्‌कः जिमि अजि खः ।
She is my grandmother.,वय्‌कः जिम्ह अजि खः ।
He told me that on his last vacation.,वं लिपांगु विदाय् जितः धाःगु खः ।
I love going to the theater but it's expensive.,जित प्याखं स्वः वने य: तर थ्व तसकं थिके । 
Who is that girl.,व मिसामचा सु ख: ?
I hope you are able to pass SLC exam in A grade.,छं एसएलसी जाँच ए ग्रेडय् पास याइ धकाः जिं भलसा याना ।
Where was I born Where did you go to primary school?,जि गन जन्म जुया छि गुगु प्राइमरी ब्वनेकुथी झाया ?
friendship sometimes ends in love.,मित्रता गुबलें गुबलें मतिनाय् ब्वलनी ।
this is my shirt.,थ्व जिगु कमीज खः।
I am a blacksmith.,जि नँकःमि ख: ।
can you give me Rs. 500 loan for a week.,जितः छिं छवाःया नितिं न्यास: दां त्यासा बी फइ ला ?
I want to go see a movie with you.,जित छिनाप प्याखं स्ववने मास्ति व:
I am not a Robot.,जि रोबोटो मखु ।
do you know her ?,छिं वयात म्हस्यू ला ?
I'm going to see my grandmother.,जि जिमि अजियात नाप लायेत वनाच्वना ।
She lives in a house behind those trees.,व हुंकन सिमाया ल्यूने च्वंच्वन ।
thank you for helping me to take my photo.,जिगु किपा कायेत जितः गुहालि याना दीगुली छितः सुभाय् ।
Where are you coming from?,छि गनं झाया दियागु ?
This is not the advantage of technology.,थ्व प्रविधिया फाइदाया खँ मखु ।
this is our classroom.,थ्व जिमिगु ब्वनेगु क्वथा खः । 
People should watch TV less.,मनूतय्‌सं म्ह्व जक टिभि स्वयेमाः ।
Verbal or physical signs in 4 out of 5.,ल्हाइगु व संकेत भाय् न्यागू ल्याः मध्यय् प्यंगू ल्याः
Call 911 in an emergency.,आपद जुइबलय् ९११ स फोन यानादिसँ ।
You have to call 911 in an emergency.,आपत जुइबलय् छिं ९११ य् फोन यायेमाः ।
I lost my cow.,जिं जिम्ह सा तंका ।
I read a book.,जिं छगू सफू ब्वना ।
I am going to eat.,जिं नये त्यनागु दु ।
I am going to eat.,जि नः वने त्यनागु दु ।
I love my girlfriend.,जिं जिमि मिसापासायात मतिना याना ।
I love my friend.,जितः जिमि पासा य: ।
What do you do ?,छं छु यानाच्वंनागु दु ?
What do you do ?,छि छु याना दिया ?
I am beautiful.,जि बांलाः ।
I am beautiful girl.,जि बांलाःम्ह मिसा ख: ।
I don't know your offer.,जिं छिगु धापू मथुल ।
I don't know your proposal.,जिं छिगु प्रस्ताव मथुल ।
The owner lives in the first floor.,थुवा: न्हापांगु तल्लाय् च्वनादी ।
The owner lives on the first floor.,थुवा: मातनय् च्वनादी ।
I’m going to play.,जि म्हितेत वनाच्वना ।
I’m going to play.,जि कासा म्हितेत वनाच्वना ।
I’m going to enjoy football.,जि फुटबल कासा स्वये य: ।
I like to play football.,जितः फुटबल म्हितेगु यः ।
I like to play football.,जितः फुटबल म्हिते यः ।
I enjoy football.,जित फुटबल म्हिते मास्ति वः ।
I like to play football.,जितः फुटबल म्हिते यः ।
I like to play football.,जितः फुटबल कासा म्हिते यः ।
I like to play football.,जितः फुटबल म्हितेगु यः ।
I am glad I could help you.,छित गुहालि यायेदयाः जि तसकं लय्‌ताः ।
I am in the hospital.,जि अस्पतालय् दु ।
I’m going to eat rice.,जि जा नयेत वनाच्वना ।
I’m going to eat rice.,जि जा नः वने त्यना ।
My grandfather is 95 years old.,जिमि बाज्या ९५ दँयाम्ह ख: ।
My grandfather is 95 years old.,जिमि अजा ९५ दँ दुम्ह ख: ।
Grandfather,बाज्या
Grandfather,अजा
Grandmother,बजे
Grandmother,अजि
Grandson,छय्
Granddaughter,छय्
father-in-law,ससःअबु
father-in-law,बाःजु
mother-in-law,ससःमां
mother-in-law,माजु
Sister in law,ससः केहें
Sister in law,केहेंभत
brother in law,ससःकिजा
brother in law,किजाभत
son in law,जिलाजं
son in law,जिजाभाजु
Daughter in law,भौमचा
Daughter in law,भम्चा
Hungry,नये पित्यात
Are you hungry?,छितः नये पित्यात ला ?
We're holding events in the park.,जिमिसं पार्कय् कार्यक्रम याये त्यनागु दु ।
We are organizing program in the park.,जिमिसं पार्कय् ज्याझ्वः न्ह्याका च्वनागु दु ।
"May I know your name, Please.",छिगु नां छु ख: धयादिसँ ।
Listen there the noise.,अन हा:स तायेदु ।
Nobody likes you.,छित: सुनानं मययेकू ।
Are you going to marry soon?,छु छिं याकनं इहिपाः याये त्यनागु ख: ला ?
Try to learn Spanish language it is important.,"स्पेनिश भाय् सयेकेगु कुतः यानादिसँ, थ्व अतिकं महत्वपूर्ण जू ।"
They asked me many questions.,उमिसं जितः यक्व न्ह्यसः न्यन ।
I am a medical professional.,जि छम्ह चिकित्सा पेशायाम्ह खः ।
I like to work.,जित: ज्या याये य: ।
why are you late?,छि छाय् लिबात ?
I like cake.,जित केक य: ।
How many animals are there in the zoo?,चिडियाखानाय् गुलि जनावरत दु ?
I started working.,जिं ज्या सुरु याना ।
I drink milk.,जिं दुरु त्वने ।
Please click here.,थन तियादिसँ ।
He speaks too much.,वं आपाः हे खँ ल्हाइ ।
You can remember the Lord while in trouble.,दुःख जुइबलय् छिं भगवानयात लुमंका दी फु ।
Show them the correct way to liberation.,इमित मोक्षया बांलागु लँपु क्यनाब्यु ।
He will gain peace and liberation.,वयात शान्ति व मुक्ति लायेमा ।
You can remember the name of Bodhisattva.,छिं बोधिसत्वया नां लुमंका दी फु ।
Bodhisattva's solid vows can be fulfilled.,बोधिसत्वया प्रतिज्ञा पूर्ण जुयेमा ।
Please collect fund for helping the poor.,चीमिपिन्त ग्वाहालिया नितिं दां जम्मा यायेत दां मुंका दिसँ ।
Please save us.,जिमित बचय् यानादिसँ ।
Sexual misconduct.,यौन दुराचार 
Criminals,अपराधि
sufferings,कष्ट
fear,त्रास
peace,शान्ति
peaceful mind,शान्त चित्त
Birth is the start of life.,जन्म जीवनया शुरुवात खः ।
I can count people in the party.,पार्टीइ जिं मनू ल्याः खाये फु ।
Please give food to the poor.,चीमिपिन्त नसा ब्यु ।
Please donate for the social Organization.,सामाजिक संघ संस्थायात दान यानादिसँ ।
After the invention of paper writing started.,भ्वंया आविष्कार जुयांलि च्वयेगु ज्या न्ह्याःगु जुल ।
Gold is used for making ink for writing.,च्वयेगु नितिं मसि दयेकेत लुँयात छ्यली ।
Carbon black from lamp is used for making ink.,मसि दयेकेत मतया हाकः छ्यली ।
He signed the document.,वं दस्तावेजय् हस्ताक्षर यात ।
He signed the contract documents.,करारनामा भ्वँतय वय्‌कलं हस्ताक्षर यानादिल ।
He came to my house yesterday.,व म्हिगः जिगु छेँय् वल ।
He came to see me yesterday.,जितः नाप लायेत वय्‌कः म्हिगः झाल ।
He came to see me in the hospital.,व जितः स्वयेत अस्पतालय् वःगु खः ।
Will you meet me again ?,छं जितः हाकनं नाप लाये फै ला ?
Smooth move.,पिचुक्क न्ह्यात ।
That day I realize that I am wrong.,उबलय् जि चायेका कि जि गलत खः ।
This is different from a paraphrase.,थ्व हीकेगु स्वयां पाः ।
I told you to call me after one hour.,छघौ लिपा जितः फोन यायेत जिं छन्त धया ।
I am documentary maker.,जि डकुमेन्ट्री दयेकीम्ह खः ।
I do not have much time.,जिकेय् यक्व ई मदु ।
I just want to get an interview with you.,जि छिलिसे खँल्हाबल्हा न्ह्याके मास्ति व: ।
She accepted my offer.,वं जिगु धापूयात स्वीकार यात ।
I got a job which is very satisfactory.,"जितः ज्या दत, थ्व जितः तसकं संतोषजनक ताल ।"
I am just taking you an interview.,जिं छिगु खँल्हाबल्हा कायेत वयाच्वना ।
She got mad.,व उइँ जुल ।
You can trust me.,छं जितः भलसा यायेफु ।
You keep always update.,छ न्ह्याबलें अपडेट जुयाच्वँ ।
He does it whenever he wants.,गुबलय् वया यल उबलय् वं थ्व याइ ।
"No, No it is not like this.","मखु, मखु थ्व थथे मखु ।"
"Now listen, the truth is always not believable.","आः न्यनादिसँ, सत्य खँ न्ह्याबलें पत्याः याये बहः जुइ मखु ।"
Truth is always bitter.,सत्य न्ह्याबलें खायू जुइ ।
How much do you earn?,छिगु आमदानी गुलि ख: ?
Now give me your answer.,आः जितः छिगु लिसः बियादिसँ ।
The game has finished.,थ्व कासा क्वचाल ।
The game is finished.,कासा क्वचाल ।
The game has ended.,कासा क्वचाःगु जुल ।
The game is ended.,कासा अन्त्य जुइ ।
The game was over.,कासा क्वचाल ।
The game is over.,कासा क्वचाःगु ख: ।
The game is completed.,थ्व कासा पूवंक क्वचाल ।
The game is not playing today because of the Rain.,थौं वा वःगुलिं कासा मन्ह्यात ।
The game has been postponed today.,थौं कासा लिछ्यात ।
The library is open.,सफुकुथि चाःगु दु ।
The library is not open.,सफुकुथि चाःगु मदु ।
The library is not yet open.,सफुकुथिइ आः तक नं चाःगु मदु ।
Why the library is not open today?,थौं सफूकुथि छाय् मचाःगु ?
I will go early.,जि याकनं हे वने ।
Today I will go early.,जि थौं न्हापां वने ।
I like her.,जितः व यः ।
I do not want to marry her.,जि व नाप इहिपाः याये मास्ति मवः । 
I am not going to marry her.,जि वलिसे इहिपाः याये त्यनागु मदु । 
I do not like to marry her.,जि वलिसे इहिपाः याये मयः ।
He is satisfied.,व संतुष्ट जुल ।
He is satisfied.,वय्‌कः सन्तुष्ट जुल ।
He is my brother.,व जिमि दाजु खः ।
He is my brother.,व जिमि किजा खः ।
I like to drink alcohol.,जित अय्‌लाः त्वने य: ।
I am happy today.,थौं जि लय्‌ताः ।
Why are you sad ?,छि छाय् नुगः मछिंका दिया ?
Why you are sad today ?,थौं छि छाय् नुगः मछिंका दिया ?
I am watching movie.,जि संकिपा स्वयाच्वना ।
I am going to see movie.,जि संकिपा स्वयेत वनाच्वना ।
My love,जिमि यःम्ह
My lovely friend,जिमि यःम्ह पासा
My boy,जिमि पुता
My boy,जिमि मचा
My son,जिमि पुता
My son,जिमि काय्
My teacher,जिमि स्यनामि
My teacher,जिम्ह गुरु
Identity,म्हसीका
Identify,म्हसीके
Identify yourself.,छिगु म्हसीका बियादिसँ
My babe,जिमि यःम्ह
My baby,जिमि पुता
My baby,जिमि मचा
My TV is not working.,जिगु टिभी चले मजुया च्वन ।
My tv is not working.,जिगु टिभी ज्या यानाच्वंगु मदु ।
My tv is not working.,जिगु टिभिं ज्या यानाच्वंगु मदु ।
My daughter,जिमि म्ह्याय्
I am going to repair the TV.,जिं टिभी भिंके त्यनागु दु ।
I am going to repair the TV.,जिं टिभी दयेकः वनेत्यनागु दु ।
I have very old TV.,जिकेय् तसकं पुलांगु टिभी दु ।
My Tv is very old but good.,जिगु टिभी पुलांगु जूसां बांलाः ।
Please mention your qualification.,छिगु योग्यता धयादिसँ ।
Call me after one hour.,जितः छघौ लिपा स्वापू तयादिसँ ।
Call me after one hour.,जितः छघौ लिपा फोन यानादिसँ ।
I played football while in school.,जि ब्वनेकुथी ब्वनाबलय् भकुंग्वारा कासा म्हिता ।
I played football in school.,जि ब्वनेकुथी भकुंग्वारा कासा म्हिता ।
It might be my fault .,थ्व जिगु द्वपं जुइफु ।
I did not know.     ,जिं मस्यू ।
He is our family member.   ,वय्‌कः जिमि छेँया दुज: ख: ।
I am a Doctor.,जि छम्ह डाक्टर खः ।
I eat fruit.,जिं सिसाबुसा नये ।
I eat fruit.,जिं फलफुल नये ।
it eats rats.,थ्वं छुँ नइ ।
Drink lots of water every day.,न्हिं न्हिं यक्व ल: त्वँ ।
I drink wine.,जिं थ्वँ त्वना ।
I drink wine.,जिं अय्‌लाः त्वना ।
I got drunk.,जितः अय्‌लाखं काल ।
I am drinking milk.,जिं दुरु त्वनाच्वना ।
Who drink all the milk ?,सुनां फुकं दुरु त्वन ?
Who drink all the milk ?,फुक्कं दुरु सुनां त्वन ?
Looks like he's drunk.,व अय्‌लाखं काःम्ह थें च्वं ।
she is drinking water from a stone spout.,वं ल्वहंहितिं ल: त्वनाच्वंगु दु ।
a child drinks mother's milk.,मचां मांयागु दुरु त्वनी ।
I am watching a movie.,जि संकिपा स्वयाच्वना ।
I am watching a movie.,जि प्याखं स्वयाच्वना ।
"The underground petroleum mine is drying up, so we need  to find an alternative to driving our cars.","जमीनं क्वय्‌च्वंगु पेट्रोलया खानी सुना वनाच्वन, उकिं झीसं कार चले याये नितिं छुं विकल्प माले माःगु दु ।"
In one year there are twelve months.,दँछिइ झिंनिला दइ ।
In a week there seven days.,छवालय् न्हय्‌न्हु दइ ।
In a week there are seven days.,न्हय्‌न्हुया छवाः जुइ ।
There are plenty of oranges in the market.  , बजारय् आपालं सन्तरासि खनेदत ।
I am satisfied with my new job.  , जि न्हूगु ज्यां संतुष्ट दु ।
Full moon night is called Punhi in Nepal Bhasa., पामिलाया चायात नेपालभासं पुन्हि धाइ ।
Dark moon night is called Aunshi in Nepal Bhasa., खिमिलाया चायात नेपालभासं अमाइ धाइ ।
The moon is big and bright during Full moon night.,थ्व पुन्हिया चाखुन्हु तिमिला तपाः व चकंगु जुइ ।
Full moon night is special night.  , पुन्हि छगू विशेस चा ख: ।
 We celebrate festival during full moon night.  , पुन्हिया चाखुन्हु झीसं नख:चख: हनेगु याना ।
 The moon is big and bright. , तिमिला तपा व चकंगु जुइ ।
 This is different from a paraphrase.  , थ्व ब्याख्या यायेगु सिबें पाः ।
 She is drinking water from a stone spout., वं ल्वंहितिं ल: त्वनाच्वंगु दु ।
 A child drinks mother's milk., मांया दुरु मचां त्वनी ।
 Respectful words for ladies in Nepal Bhasa is Mayeju.,नेपाल भासां मिस्तय्‌त सम्मान स्वरुप मय्‌जु धाइ । 
 What do you know about him? , छिं वय्‌कःया वारे छु स्यू ?
 Hari is at home., हरि छेँय् दु ।
 The hospital is near my house. , अस्पताल जिमि छेँ लिक्क दु ।
 I am trying to repair my TV. , जिं जिगु टिभी दयेकेगु कुत: यानाच्वना ।
