I will go.,जि वने त्यना ।
 The owner is not coming today. , छेँथुवाः थौं झाइ मखु ।
 Banana  , केरा
 Banana , म्वाः
She is beautiful.   ,व बांलाः ।
The game is interesting. , थ्व कासा न्ह्याइपु ।
Life is good., जिन्दगी न्ह्याइपु ।
Students went to the school . , ब्वनामिपिं ब्वनेकुथी वन ।
I do not marry with her., जि वनाप इहिपाः याये मखु ।
Who wants to marry with me?, सु जिनाप इहिपाः याये न्ह्याः ?
Who wants to live for ever .   , सु सदां म्वानाच्वने न्ह्याः ? 
I am in road., जि सतकय् लानाच्वन ।
You can trust me.  , छिं जित: पत्याः यायेफु ।
The baby drinks mother's milk., मचां मांयागु दुरु त्वनी ।
I am watching movie., जि संकिपा स्वयाच्वना ।
Can you count them?, छं उकियात ल्याः खाये फु ला ?
Are there five cows?,अन न्याम्ह सात दु ला ?
Where are all these cows going.,थुपिं फुक्कं सा गनं वने त्यंगु ?
Yes my child you know how to count.," ख: जिमि मस्त, छिमिसं गथे यानाः ल्याः खायेगु धकाः सिल ।"
 How many sheep’s are there., अन गुलि भ्याय्‌चा दु ?
I cannot count them all., जिं इपिं फुक्कयात ल्याः खाये मफु ।
Is it the end of school year ?  ,थ्व ब्वनेकुथिया लिपाया न्हि खः ला ?
Is it the last day of the school year? ,थ्व ब्वनेकुथिया लिपांगु न्हि खः ला ?
I did not know that he is our family member.,वय्‌कः नं जिमि छेँया दुज: खः धकाः जिं मस्यू ।
People actually listen to you. ,मनूतय्‌सं छं धाःगु खँ धात्थें न्यनेगु या: ।
 I like to join the group.  , जितः व पुचलय् दुहां वने यः ।
 I like to join this group.  , जितः थ्वः पुचलय् दुहां वने यः ।
 I am going to join this group. ,जि थ्व पुचलय् दुहां वने त्यना  ।
 I do not like to join this group. , जितः थ्व पुचलय् दुहां वने मयः ।
 Can I ask you some question?  , जिं छिके छुं न्हस्: न्यने फै ला ?
 You keep always update.  , छं सदां सुचंयात अध्यावधि याना तयादिसँ ।
Full moon night is special night. ,पुन्हि छगू विशेस चा ख: ।
You can trust me. ,छिं जित: पत्याः यायेफु ।
This is different from a paraphrase.,थ्व ब्याख्या यायेगु सिबें पाः ।
I am trying to repair my TV.,जि जिगु टिभी दयेकेगु कुत: यानाच्वना ।
I am a girl.   , जि छम्ह मिसामचा खः । 
 I am a boy., जि छम्ह मिजंमचा खः ।
Please write an article related to Buddhist Philosophy., बौद्ध धर्म दर्शन वारे च्वसु च्वयादिसँ ।
Please write an article.,च्वसु च्वयादिसँ ।
Thank you for the advice.,छ्याताया निंतिं छितः सुभाय् ।
Are you learning to drive?,छिं गाडी गयेगु सयेका च्वनागु खः ला ?
What is wrong with this car?,थ्व कारय् छु स्यंगु जुल ?   
Time and tide waits for no one.,ई व लबुं स्वैत नं पी मखु ।
Tide,लबु
Leg,तुति
Where are you going ?,छ गन वना च्वना ?
"Try to learn Spanish language, It is important.",स्पेनिस भाय सयेकेगु कुतः यानादिसँ । थ्व महत्वपूर्ण जू ।
It is important.,थ्व महत्वपूर्ण जू ।
I like to go to Kathmandu., जित: येँय् वने य: ।
People grow five thousand Roses in one garden., मनूतय्‌सं छगू क्यबय् न्याद्वः गुलाफ स्वां ह्वयेकी ।
We will not let you go. , जिमिसं छितः वने बी मखु । 
I went to dance., जिं डान्सय् वना । 
Many houses were destroyed by the earthquake.,भुखाचं यानाः आपालं छेँ ध्वस्त जूगु दु ।
Many houses were destroyed by the earthquake.,भुखाचं यानाः आपालं छेँ नष्ट जूगु दु ।
Your house,छिगु छेँ
 What is the name of the company you work for?,छिं ज्या यायेगु कम्पनीया नां छु खः ?
Gold ink is used for writing in the early days.,न्हापाया इलय् च्वयेत लुँयागु मसी छ्यलीगु खः ।
Paper is used for writing., भ्वं च्वयेगु निंतिं छ्यलीगु खः ।
His writing is very good., वय्‌कःया च्वज्या तसकं बांलाः ।
 Gift,द्वहलपा
 Prize, सिरपाः
 All of them eat the fruits from the garden.,इपिं सकस्यां क्यबय् दुगु फलफूल नल ।
 Monkeys likes to eat Banana., माकःयात केरा नये यः ।
 This hospital is not good.,थ्व अस्पताल बां मलाः । 
While crossing the Brahmaputra river was overturned by the storm.,ब्रह्मपुत्र खुसि छिना च्वंबलय् वाफय् वयाः दुंगा फातापुगु जुल् l 
They all were being rescued by demons disguised as beautiful and young ladies. ,सकल बन्जाःतय्‌त बांलाःपिं ल्यासेतय्‌गु भेषय् वःपिं लसिंतय्‌सं इमित उद्धार याःगु जुल ।
All merchants were being taken by five hundred demons to their house. ,सकल बन्जाःतय्‌त न्यासः लसिंतय्‌सं थःथाय् यंकल ।
"They were being given plenty of food, nice ornaments and clothing and were enjoying with the young ladies.",थन इमित माक्व भोजन याकाः बांलाःगु वस: व तिसां तीकाः इपिं ल्यासेपिं लिसे सुखभोग यानाच्वन ।
"As usual, during the night time Simhala Shartha bahaa used to meditate and worship Lord Avalokiteswara. ","सदां धइ थें, चान्हय् सिंहल शार्थवाहा अवलोकितेश्वर भगवानयागु ध्यान व पूजा याइगु जुयाच्वन ।"
One night the lamp happened to laugh and told him that they are in great problem.,"छ्न्हुया चान्हय् च्यानाच्वंगु मत न्हिला हल, अले सिंहल सार्थवाहायात छिपिं तःधंगु विपदय लानाच्वंगु खँ कन ।"
Prajnaparamita is the holy manuscript in Buddhism. ,प्रज्ञापारमिता बौद्धधर्मया पबित्र ग्रन्थ खः ।
Before the invention of paper and ink for writing the learned people used to remember the whole manuscripts.,भ्वं व मसिया आविष्कार जुइन्ह्यव विद्वानपिंसं ग्रंथत कंठष्ठ याइगु जुयाच्वन । 
Tripitak is the oldest Buddhist Manuscripts.  ,त्रिपिटक बौद्धधर्मया दकलय् पुलांगु ग्रन्थ खः ।
The Prajnaparamita is the sacred manuscript in Buddhism.,प्रज्ञापारमिता बौद्धधर्मया पबित्र ग्रन्थ खः ।
I love does who love me.,जिं वैत मतिना याये गुम्हेस्यां जितः मतिना याइ ।  
Let us not be depressed.   ,झासँ थन नुगः मछिंके माःगु मदु ।
You can download this book from the internet.,छिं थ्व सफूयात इन्टरटनेटं डाउनलोड याये फइ ।
I want a glass of water.,जितः छगू ग्लास लः माल ।
I like to watch game in the TV. ,जितः टीभिइ कासा स्वये य: ।
Open the Big Fish Game APP (Game Manager). ,बिग फिश गेम ऐप चायेका दिसँ । (गेम मैनेजर) 
It is difficult to survive in the mountain. ,पहाडय म्वाये तसकं थाकु ।
Devanagari script is used to write Nepali.,नेपाली भाय् च्वयेत देवनागरी लिपि छ्यली ।
There is a better way to write the story. ,बाखं च्वयेत थन बांलाःगु लँपु नं दु ।
I joined the school.      ,जि ब्वनेकुथिइ भर्ना जुया । 
it requires months to achieve the desired result. ,बांलाक्क ज्या पूवंकेया निंतिं छुं ला माली ।
I want to go to Pokhara to see the mountains.  ,च्वापुगुँ स्वयेत जितः पोखरा वने मास्ति वः । 
Mother told me to be gentle. ,मामं जितः ज्ञानी जुइत धाल ।
I am going to enjoy the football game. ,जितः फुटबल कासा म्हिते मास्ते वयाच्वंगु दु । 
We are going to purchase a new car today. ,थौं जिमिसं छगः न्हुगु कार न्याः वने त्यनागु दु ।
Koreans learned how to make paper in 7th century and in the 11th century they began to exporting it to China. ,"कोरियनतय्‌सं ७ शताब्दीनिसें भ्वं दयेकेगु ज्या सयेकल, अले इमिसं ११ शताब्दी निसें चीनय् छ्वयेगु ज्या सुरू याःगु खः ।"
"In order for this to happen, I will have to put more effort into this class. ","थ्व ज्याझःया निंतिं, जिं अझ नं थुगु क्लासय् थप मेहेनत याये मानि ।"
Teaching kids Philosophy makes them smarter in the class.,मस्तय्‌त दर्शनशास्त्र ब्वंकल धाःसा इपिं क्लासय् चलाख जुइ । 
Most of the ancient Buddhist manuscripts are written in ink made from real gold.,आपालं पुलांगु बुद्धधर्म ग्रन्थत लुँयागु मसिं च्वयातःगु ख: ।
"I just washed my hair, the hair is still wet.","जिं नकतिनि म्वः ल्हुया, अझ नं सँ मगंनि ।"
I am going to enjoy my vacation visiting Pokhara.,जि पोखराय् वनाः जिगु बिदा माने याः वनेत्यना ।
This fish is poisonous one can die eating it.,थ्व न्या बिषादि थ्व नल धासाः मनू सी फु ।
For running the event I recommend the KF Chips. ,ज्याझ्वः ह्याकेत केएफ चिप्स छ्यला दीत इनाप याना ।
Scientists found water in the moon surface and the water is brought to get tested in the laboratory. ,वैज्ञानिकतय्‌सं चद्रमाय् ल: दु धकाः लुइकल अले व ल:यात प्रयोगशालाय् परीक्षण यायेत हल ।
Modern medical science developed very sensitive Robot to help in many complicated surgeries.,आधुनिक चिकित्सा विज्ञानं आपालं थाकुगु व जटिल अपरेशन यायेत एकदम संवेदनशील रोबोट विकास यात ।
I am now showing you the fund to help the needy one. ,आः जिं छितः मनूतय्‌त ग्वाहालि यायेत माःगु कोष दयेकेगु खँ कने ।
"Satasahrisika Prajnaparamita manuscript from Bhagwan Bahal with 100,000 stanzas is the biggest volume found in Nepal.",भगवान बहाःयागु छगू लख तुतः दुगु सतसह्रिसिका प्रज्ञापारमिता नेपालय् दुगु दक्कसिबय् तःधंगु ग्रन्थ ख: । 
But he does not know how to do it properly as his wife.,अय्‌नं वय्‌कलं वय्‌कःया कलातं थें पूवंक ज्या याये मस: ।
"Although Women are also given equal opportunity to learn Buddhism, they were never treated as senior to the elderly monks.",मिस्तय्‌त बौद्ध धर्मग्रन्थ ब्वनेत सामान अधिकार ब्यूगु जूसां इमित गुबलें नं भिक्षुपिन्त थें जेष्ठताय् मान्यता ब्यूगु मदु ।
The foster mother of Buddha was the first lady to get membership to the Bhikkshuni Sangha., न्हापांम्ह भिक्षुणी संघया मिसा दुज: बुद्धया चिरिमां ख: । 
"There are five Chinese translation of the Satasahrishika Prajnaparamita with 100,000 stanzas.",छगू लख तुतः दुगु सतसह्रिसिका प्रज्ञापारमिता चिनिया भासं न्याकः भाय् ह्यूगु दु ।
Many Buddhists manuscripts are found in the collection of Museums and library around the globe.,हलिमय् दुगु आपालं म्युजियम व सफूधुकुतिइ बौद्ध धर्मग्रन्थ मुंका तःगु दु ।
"Astasahrisika Prajnaparamita, the oldest Buddhist manuscript belonging to the early 11th century is in the collection of British Museum. ",झिंछगू शताब्दीपाखे ल्हातं च्वयातःगु पुलांगु बौद्ध ग्रन्थ अष्टसह्रीसिका प्रज्ञापारमिता बेलायती म्यूजियमय् तयातःगु दु ।
The story of the past life of Lord is called Buddha Jataka tale.,भगवान बुद्धयागु न्हापाया जन्मया बाखंयात जातक बाखं धाइ ।
The legend of the merchant Simhal is known as Valahassa Jataka.,सिंहल सार्थबाहा बंजाःया बाखंयात वालाहासा जातक धकाः धाइ ।
"According to the story, Simhal Sharthabaha went on a business trip with 500 other merchants.",थुगु बाखंकथं सिंहल सार्थबाहा ५०० न्यासल बंजाःतय्‌गु पुचः मुंकाः ब्यापार याःवंगु जुल l
While crossing the Brahmaputra river was overturned by the storm.,ब्रह्मपुत्र खुसि छिनाच्वंबलय् वाफय् वयाः द्वंगा फातापूगु जुल ।
They all were being rescued by demons disguised as beautiful and young ladies.,सकल बन्जाःतय्‌त बांलाःपिं ल्यासेतय्‌गु भेषय वःपिं लसिंतय्‌सं इमित उद्धार याःगु जुल ।
"They were being given plenty of food, nice ornaments and clothing and were enjoying with the young ladies.  ",थन इमित माक्व भोजन याकाः बांलाःगु वस: व तिसां तियेकाः ल्यासेतलिसे सुखभोग याकातल ।
"As usual, during the night time Simhala Sharthab ahaa used to meditate and worship Lord Avalokiteswara. ",सदां धइ थें चान्हय् सिंहल शार्थवाहा अवलोकितेश्वर भगवानयागु ध्यान व पूजा याइगु जुयाच्वन ।
One night the lamp happened to laugh and told him that they are in great problem. ,"छ्न्हुया चान्हय् च्यानाच्वंगु मत न्हिला हल, अले सिंहल सार्थ्बवाहायात छिपिं तःधंगु विपदय् लानाच्वंगु धकाः खँ कन ।    "
Koreans learned how to make paper in 7th century and in the 11th century they began to exporting it to China. ,"कोरियनतय्‌सं ७ शताब्दीनिसें भ्वं दयेकेगु ज्या स:, अले इमिसं ११ शताब्दीनिसें चिनय् छ्वयेगु ज्या सुरू याःगु खः ।"
"In order for this to happen, I will have to put more effort into this class. ","थ्व ज्याझ्वःया निंतिं, जिं अझ नं थुगु क्लासय् थप मिहनत याये मानि ।"
"After rinsing, screw the privacy pin through the rosette, into the latch.","सफा यायेधुंकाः, दुबिस्ता संकेत रोसेटया माध्यमं हीका दिसँ l"
Scientists found water in the moon surface and the water is brought to get tested in the laboratory. ,वैज्ञानिकतय्‌सं मिलाय् ल: दु धकाः लुइकल अले व ल:यात प्रयोगशालाय् परीक्षण यायेत हल ।
Modern medical science developed very sensitive Robot to help in many complicated surgeries.,आधुनिक चिकित्सा विज्ञानं आपालं थाकुगु व जटिल अपरेशन यायेत एकदम संवेदनशील रोबोट विकास यात ।
This is to be called as the advantage of modern technology.,थ्व छगू आधुनिक प्रविधिया फाइदा हे धायेमाः ।
Unplug the unit from the outlet when not in use and when cleaning.,छ्यलाबुला मजुयाच्वंगु इलय् व सफा यायेबलय् यूनिटयात आउटलेटं अनप्लग यानादिसँ ।
You should complete the above procedure before attempting the second part of Step 2.,निक्वःगु ब्वया निगूगु पलाः न्ह्याके न्ह्यः छिं च्वय् न्ह्यथनातः थें ज्या पूवंके माः ।
"Finally, I could save that file to the drive we are using.","लिपतय्, जिं व फाइलयात झीसं छ्यला वयागु ड्राइभय सेभ यायफै ।"
Why are you here. ,छ थन छाय् ?
It is going to rain soon.      ,याकनं हे वा वये त्यंगु दु । 
Is it Coca-Cola?      ,थ्व कोकाकोला खः ला ?
Always come on time.,न्ह्याबलें इलय् झासँ ।
Today all schools are closed.,थौं फुक्क ब्वनेकुथि बन्द जूगु दु ।
They joined the painting class.,इपिं चित्रकला कक्षा सहभागी जुल ।
Put the cheese in the table.  ,चिजयात तेबुलय तयादिसँ ।
I will go tomorrow,जि कन्हय् वन्य वने ।
What about you?   ,छित: गथे दु ?
I like to watch movie.,जित: प्याखं स्वये यः ।
We are not dead yet.,झी आःतक मसीनि ।
I bought an old car.  ,जिं छगः पुलांगु कार न्याना ।
Recently Win Me.    ,जितः आः त्याका दिसँ ।
I am reading book.,जिं सफू ब्वनाच्वना ।
I was admitted to the hospital.,जित: अस्पतालय् भर्ना याःगु खः । 
This is not the advantage of technology.,थ्व प्रविधिया फाइदाया खँ मखु ।
I don't like that sort of comedy very much.,जितः अज्यागु ख्याः याइगु तसकं मयः ।
Hi I'm Nicos what's your name ?,"ज्वजलपा, जि निकोस छिगु नां छु ख: ?"
I eat. ,जिं नये ।
I am not going to play football. ,जि फुटबल म्हिते त्यनागु मखु ।
I am going to play football. ,जि फुटबल म्हिते त्यनागु खः ।
I got admitted in the hospital. ,जित: अस्पताल भर्ना याःगु खः ।
It's going to rain soon.   ,याकनं हे वा वये त्यंगु दु ।
I like to sing.  ,जित: मे हाले य: ।
Please try like this. ,थथे याना कुतः यानादिसँ ।
How can I trust you? ,छन्त गथे याना जिं पत्याः यायेगु ?
Come home tomorrow. ,कन्हय् छेँय् वा ।
I like to watch movies. ,जित: संकिपा स्वये य: ।
Do you drink Coca-Cola? ,छं कोका-कोला त्वने ला ?
Enjoy luxury.     ,सुबिस्तां आराम कयादिसँ ।
Had a lot of fun !     ,यक्व न्ह्यइपुल !
He is working since yesterday. ,वय्‌कलं म्हिगःनिसें ज्या यानाच्वना दीगु दु ।
The game is interesting. ,कासा न्ह्याइपुगु दु ।
That we are not dead yet.,झी आःतक मसीनि ।
what do you say?      ,छिं छु धयादी ?
He joined the painting class.  ,वय्‌कः चित्रकला कक्षाय् सहभागी जुल ।
What happened she is crying.,"छु जुल, व ख्वयाच्वन ।"
This is Coca-Cola. ,थ्व कोकाकोला खः ।
We are Nepali citizens.,जिपिं नेपालि नागरिक ख: ।
"She said, ""You need to sleep."" ","वं धाल, ""छं द्यनेमाःगु दु ।"""
I like to go out.  ,जितः पिहां वनेयः ।
What is the noise there?,अन छुकेया हा:स: तायेदु ?
They joined the painting class .,इपिं चित्रकला कक्षाय् सहभागी जुल ।
This is not to be called as the advantage of modern technology.,थ्व छगू आधुनिक प्रविधिया फाइदा खः धकाः धायेफै मखु ।
This is to be called as the advantage of modern technology.,थ्व छगू आधुनिक प्रविधिया फाइदा खः धकाः धायेफु ।
Welcome to the class.,क्लासय् लसकुस दु ।
The post office is next to the subway station.,पोष्ट अफिस सबवे स्टेशनया लिक्क दु ।
Try your best effort.,छिगु बांलागु कुतः यानादिसँ ।
Why are you going to the Hospital? ,छ अस्पताल छाय् वना च्वनागु ?
Please tell the name of the company you work?,छि ज्या यायेगु कम्पनीया नां छु खः धयादिसँ ?
Let me see that.   ,व जिं छक स्वये ।
Today all schools are closed.,थौं ब्वनेकुथित फुक्क बन्द जूगु दु ।
I like to watch movie.  ,जित: प्याखं स्वये यः ।
Why are you here?  ,छ थन छाय् ?    
Please mention your qualification?  ,छिगु योग्यता धयादिसँ ।
Show them to the correct way to liberation.,इमित मोक्ष लाइगु बांलाःगु लँपु क्यनाब्यु ।
Please give food for the poor.,चीमिपिन्त नयेगु नसा बियादिसँ ।
Please help to collect fund for helping the poor.,चीमितय्‌त ग्वाहालि याये नितिं हापं मुंकेत ग्वाहालि यानादिसँ ।
What do you do?    ,छं छु याना च्वनागु दु ?
May I know your name please ?,छिगु नां सीके ज्यू ला थें ?
I am going to play.    ,जि कासा म्हितः वनेत्यनागु दु ।
What is the noise there ?   ,अन छुकेया हा:स: ताये दु ?
Looks like he is drunk.,व अय्‌लाखं काःम्ह थें च्वं ।
I have a question to ask you.,जिं छितः न्यनेत न्ह्यस: दु ।
Please mention your qualification?  ,छिगु योग्यता धयादिसँ ।
His occupation is excellent.,वय्‌कःया लजगाः तसकं बांला ।
Red chilly is beautiful to look at.,ह्याउंगु मल्ता स्वयेबलय् बांलाः ।
The green chilly is very hot.  ,वाउँगु मल्ता तसकं पालु ।
Who drink all milk.        ,फुक्क दुरू सुनां त्वन ?
Hungry  ,नये पित्याः ।
"Console her, she is weeping.   ",व ख्वयाच्वन वैत ह्ययेकि ।
That movie made me cry.,व प्याखनं जितः ख्वयेकल ।
He is my best friend.        ,व जिमि दकलय् यःम्ह पासा ख: ।
My friend made me cry.      ,जिमि पासां जितः ख्वयेकल । 
His grand child is very nice.,वय्‌कःया छय्‌मचा तसकं बांला ।
Bitter melon is bitter in taste.,खाइककःचायागु सवाः खाइसे च्वं ।
Hali Newa Guthi is an association of all Newah.,हलिं नेवाः गुथि धैगु सकल नेवाःतय्‌गु संस्था खः ।
His cap is very nice .,वय्‌कःया तपुलि तसकं बांलाः ।  
Did you have your breakfast?,छिं सुथसिया कौला भपा दिया ला ?  
A book is to read and a copy is to write.,"सफू ब्वनेत ख:, कापी च्वयेत ख: ।"
An umbrella is useful during rain. ,वा वइबलय् कुसा ज्या ख्यले दु ।  
His garden is beautiful.             ,वय्‌कःया क्यब बांलाः ।  
We will have tiffin together . ,झी नापं तुच्चा याये ।
Where are you going ?      ,छ गन वने त्यना ?
I am not hungry today.   ,थौं जितः नये पित्याः मजू ।         
I do not have apatite today.  ,थौं जितः नये मास्ति मवः ।  
Literate people propose to go to foreign country.,ब्वनातःपिं मनूत विदेश वने ययेकी ।
There is no sunlight in my room.,जिगु क्वथाय निभा ज: मवः ।
Do not tease him.   ,वयात हायेके मते ।
"In early days, lamp black ink is used for writing. ","न्हापा, च्वयेत मत हाकः छ्यलीगु खः ।"
I crossed the river in a boat.  ,जिं द्वंगाय् च्वनाः खुसि छिना ।
That man looks addict.     ,व मनू बांमलाःगु लत लगे जूम्ह थें खनेदु । 
The smoke came from the burning of the incense stick.,धुं च्याकुगुलिं कुँ वःगु ख: ।
Sweet potato is a nice food.    ,चाकुहि छगू बांलाःगु नसा ख: ।
There is a tiger in the forest.     ,अन गुँइ धुँ छम्ह दु ।
He lost his sense.       ,वया सुद्धि मदये धुंकल ।
He is sick since yesterday. ,वय्‌कः म्हिगःनिसें मफुगु ख: ।
Nobody try to solve this problem. ,थ्व समस्याया समाधान यायेत सुनानं कुतः मयाः ।
Does your dog ever bite anyone? ,छंगु खिचां गबलें सुयातं न्याःगु दु ला ? 
Ram is hiding his book.,रामं वया सफू सुचुका च्वन ।
"It is raining today, do not go out. ","थौं वा वयाच्वन, पिहां वने मते ।"
You must come with me. ,छि जि नाप झाया हे दी माः ।
He came to work since yesterday morning. ,वय्‌कः म्हिगः सुथय्‌निसें ज्या यायेत वःगु खः ।
"In early days, lamp black ink is used for writing. ","न्हापा, च्वयेगु निंतिं मत हाकः छ्यलीगु खः ।"
Today I am going to join Art class. ,थौं जि चित्रकारिता कक्षाय् भर्ना जूवने त्यना ।
What will we drink.    ,आः झीसं छु त्वनेगु ?
What is the difference between come back & go back? ,हाकनं झासँ व लिहां झासँ निगः खँग्वलय् गुलि पाः ?
Don’t stare at him.  ,वयात क्वथीक स्वये मते ।
I am in trouble with the pain in my foot. ,जिगु पाली स्यानाः तसकं कष्ट जुयाच्वन ।
He set them in place forever and ever.,वं इमित सदां सदांया निंतिं थासय् तयाबिल । 
I am trusty.,जितः प्याः चाल ।
I like to have a cup of tea.,जितः छ्गू कप च्या माःगु दु ।
,
She is my sister.    ,व जिमि केहें ख: ।
How much is it?      ,थुकिया मू गुलि खः ?
I will send you recent picture. ,जिं छित नकतिनि कयागु किपा छवया हये ।
I love to sing.,जित मे हाले यः ।
He set them in place forever and ever.  ,वं इमित सदां सदांया निंतिं थासय् तयाबिल ।
I am trusty.   ,जितः प्याः चाल ।
We already woke up from the deep sleep.  ,स्याक्क न्ह्यलं ब्वानाः झी दने हे धुन । 
We all are united as one. ,झी फुकं छम्ह थें जुइधुन ।
We are joining together in our domain.,झी झीगु डोमेनय् थःथवय् स्वाना च्वना ।
We already have risen like bright light. ,थीगु ज: थें जुयाः झी सकलें लुइधुन ।
An eight folded mandala on a red background.,ह्याउँगु पृष्ठभूमिइ च्याबः लथ्याना तःगु मन्दः ।
A star inside the red circle.,ह्याङ्गु चाकलय् दुने छगः नगु ।
This is our Newah flag.,थ्व झीगु नेवाः ध्वाँय् ख: I
All of our lives are one.,झी सकसियां ज्यान छगू हे ख: ।
A nation composes of all ethnic people.,सकल जनजाति मुनाः छगू राष्ट्र ।
May our land get blissed with the Rainbow color.,कपंया उनं झीगु देय् झिली मिलि दनेमा ।
Let us decorate our country with our sweat and our blood.,झीगु च:तिं अले झीगु हिं देय्‌यात झः झः धायेक समा: याये ।
We move onward adorning our country.,झीगु देय्‌यात समाः यानाः झी न्ह्याः वने ।
Some countries have already achieved democracy.,छुं देसं न्हापा हे लोकतन्त्र हये धुंकल । 
Some country just begun to understand the meaning of democracy.,छुं देसं नकतिनि हे जक लोकतन्त्रया अर्थ थुइकेगु सुरु यात । 
"In Nepal, the democratic norm has already started to float in the minds of Nepalese people.","नेपालय्, नेपाःमि जनताया नुगलय् लोकतन्त्रया मान्यता न्हापा हे ल्यहें ल्यहें पुइगु सुरु जुइ धुंकल । "
"It is still uncertain when the people of Nepal are going get the final and conducive result of Democracy.""","थ्व अझ नं धाये मफु, नेपाःमितय्‌सं लोकतन्त्रपाखें ब्वलनीगु सुबिधा गुबलय् कायेखनी । "
Nepal has many layers of multi-cultural identity.,नेपालय् तःता तजिलजि म्हसीकाया तःगू बः दु । 
Nepal consists of numerous ethnic groups.,नेपालय् आपालं जनजातितय् पुचः दु ।
Nepalese people actually are better known by the term Gurkhas.,नेपाःमित धात्थे धायेमाःसा गुर्खा खँग्वलं बांलाक म्हस्यू । 
During World War I and II they were fighting for the British Army.,न्हापांगु व निक्वःगु विश्वयुद्धय् इपिं बेलायति सेनाया नितिं ल्वागु ख: ।
They have shown brevity during the war.,हःताःबलय इमिसं बांलाक साहस क्यंगु ख: ।
Many Victorian cross were being honored to the Gurkhas during the war. ,हःताःबलयया गुर्खातय्‌त यक्वं भिक्टोरियन क्रस बियाः हन ।
Victorian cross is the most honored medal in the British army.,भिक्टोरियन क्रस तक्मा बेलायति सेनाया दकलय् तःजिगु तक्मा खः । 
It is going to rain.,वा वइ थें च्वन ।   
Is it going to rain.,वा वये त्यन ला ?
We are not going to play football today.,जिपिं थौं फूटबल कासा म्हिते त्यनागु मदु ।
I like to drink coffee after lunch.,जितः ज्यःनाः धुंकाः कफि त्वने य: ‍। 
I like to drink coffee.,जितः कफि त्वने य: । 
I drink coffee regularly.,जिं न्ह्याबलें कफि त्वना ।
Breakfast,कौला ।             
Lunch,ज्यःनाः ।
Dinner,ब्यलि ।
Snack,तुच्चा ।
"Excuse me, I am not going to pay today.","माफ यानादिसँ, थौं जिं छितः ध्यबा पुले त्यनागु मदु ।  "
Excuse me !,माफ यानादिसँ ।
I can speak Nepal Bhasa.,जिं नेपालभाषां न्ववाये फु ।
I can speak Nepal Bhasa.,जिं नेपालभाषां खँ ल्हाये फु ।
I started learning Nepal Bhasa.,जिं नेपालभाषा सयेकेगु सुरु याना । 
There are nine different script used to write Nepal Bhasa.,नेपाल भाषा च्वयेत गुंगू बिस्कं लिपित दु ।
Ranjana script is a decorative script used to write Nepal Bhasa.,नेपालभाषां च्वयेत रंजना आखः छगू छाय्‌पालं जाःगु लिपि ख: ।
Most of the manuscripts are written in real gold ink with Ranjana script.,आपालं ग्रन्थत रन्जना आखलं लुँयागु मसिं च्वयातःगु दु ।  
I can write Nepal Bhasa in Ranjana script.,जिं रन्जना आखलं नेपालभाषा च्वये फु ।
I like to read. ,जित: ब्वने य: ।
There are better way to convince the Boss.,हाकिमयात पत्याः याकेत अन बांला:गु लँपु दु ।
There is a better way.,अन बांला:गु लँपु दु ।
There is a better way.,अन बांला:गु तरिका दु ।
