I will go.,जि वने त्यना ।
There is a better way.,अन बांला:गु लँपु दु ।
In the summer the weather is hot. ,ताल्लाय् मौसम ता:न्वइ ।
I love my hair. ,जितः जिगु सँ यः ।
Are you going to join the group?,छु छि थुगु पुचलय् दुहां झायादी त्यनागु खः ला ?
Speak quietly.,बुलुहुं न्ववा ।
Friendship ends on love.,मित्रता मतिनाय् क्वचाइ ।
How rapidly the work of corruption progress.,गुलि याकनं भ्रष्ट्राचारया ज्या न्ह्यब्वात ।
For many years sheep have been eating the  valuable flower.,यक्व दँ न्ह्यवंनिसें भ्याय्‌चां थ्व मूवंगु स्वां नयाच्वन ।
I will be waiting for you.,जिं छितः पियाच्वने ।
Do you want to have breakfast?,छं कौला याये मं दु ला ?
I am ready to go.,जि वनेत तयार दु ।
I am going.,जि वने त्यना ।
I am going to toilet.,जि चःबि वनेत्यना ।
I am going to toilet.,जि पाइखाना वनेत्यना ।
The magnitude of the earthquake is measured in rector scale.,भूखाय्‌या कम्पनया मापन रेक्टर स्केलं याइ । 
Do you know the magnitude of the earthquake?,भूखाय्‌या कम्पन गुलि ख: छिं स्यू ला ? 
Did you noticed the earthquake last night ? ,वंगु चान्हय् भुखाय् ब्वःगु छिं वाः चाः ला ?
He came to work since yesterday morning.,व म्हिगः सुथंनिसें ज्या यायेत वल ।
He is working since yesterday morning.,वं म्हिगः सुथनिसें ज्या यानाच्वन ।
Do not harm your neighbor.    ,छिमि जःलाखःलायात दुख बी मते ।
We are going to Boston this week.,जिपिं थ्व वालय् बोस्टन वनेत्यनागु दु । 
They become accessible to hunters and poachers.,इपिं सिकार म्हितीपिं व अबैध रुपं सिकार याइपिनिगु निंतिं अःपुक दइ ।
Any excuse will serve a tyrant.,गुगुं नं बहानां उत्पिडकयात सेवा याइ । 
To finish this in time we need more effort.,थ्व ज्या इलय् सिधयेकेत झीसं आपालं कुत: याये माली ।  
Write down new word and phrase you read today.,छं थौं ब्वनागु न्हूगु खँग्वः व वाक्यांशत च्व ।   
Many houses got badly destroyed by the Earthquake.,भ्वखाचं यानाः आपालं छेँत बांमलाक्क स्यंकल ।
"Thirty years since all this happened, thirty years it took to rise.","थथे जूगु स्वीदँ दत, थुकियात भिंकेत स्वीदँ बित ।"
You are my friend.  ,छ जिम्ह पासा खः ।
You are my best friend.,छ जिम्ह तसकं मिले जूम्ह पासा ख: ।
This is not correct.,थ्व पाय्‌छि मखु ।
The TV is working. ,टिभी चले जुयाच्वन ।
That’s it.     ,व थ्व हे खः ।
I feel pain in my feet.,जिगु पालि स्याःगु दु ।
How are you going to enjoy Vacation?,छि बिदा गुकथं न्ह्यइका दी त्यनागु दु ? 
Come to your senses.,छि होसय् झासँ ।
Come to your senses.,छि होसय् झासँ ।
Please introduce yourself.,थःम्हं हे म्हसीका बियादिसँ ।
Students went to school.,ब्वनामित ब्वनेकुथी वन ।
When are you going to get the presentation.,छिं थःगु प्रस्तुति गुबलय् यानादी त्यना ?
When is your Scientific research presentation?,छिगु बैज्ञानिक अनुसन्धानया प्रस्तुति गुबलय् खः ?
It gets heavy rainfall in our village during rainy season.,बर्खा मौसमबलय् जिमिथाय् गामय् यक्व वा वइ ।  
We can save the water we can get during rainy season to use in the future.,बर्खा मौसमबलय् वइगु वातिलः लिपाया निंतिं छ्यलेत झीसं मुंके ज्यू ।
We continue to investigate failures in Umbilical ALSPA and Tow Wire.,जिमिसं अम्बिलिकल एएलएसपिए व टो वायरय् असफलतायात दुवालावं च्वना ।
My school is far.,जिगु ब्वनेकुथि तापाः ।
I am from Kathmandu.,जि येँपाखें खः ।
I am going to marry.,जि इहिपाः याये त्यना ।   
Ladies and gentleman.,भाजु मय्‌जुपिं ।
MY car is broken.,जिगु कार स्यनाच्वन ।
My TV got broken down.,जिगु टिभी स्यन ।
I took my lunch early today.,थौं जिं न्ह्यथाक्क ज्यःनाः याना ।
My house is small and old.,जिगु छेँ चिखा अले पुलांगु खः ।
No one likes you in the group.,पुचलय् छितः सुनानं मययेकू ।
More workers needed to finish in time,इलय् सिधयेकेत आपालं ज्यामित माली । 
He is not working from yesterday.,वं म्हिगःनिसें ज्या यानाच्वंगु मदु । 
The children are not healthy in this village.,थन गामय् च्वंपिं मस्तय्‌गु म्ह स्वये मज्यू ।
I quite going to the theater but expensive.,जि गुबलें गुबलें थियटर वना तर थिके ।
I am not going to the theater because it is expensive.,जि थियटरय् मवना छाय् धाःसा थ्व थिके । 
I like going to the theater but expensive.,जितः थियटर वने यः तर थिके ।
If you want to meet the owner go upstairs.,थुवा: नाप लायेगु जूसा थाहां झासँ ।
The owner is upstairs he is not able to come down.,"थुवाः तलय् दी, वय्‌कः कुहां झाये मफु ।"
Who helps when you need is a true friend,सुनां छितः मालीबलय् ग्वाहालि याइ व हे धात्थेंयाम्ह पासा खः ।
There were many flowers.,अन यक्व स्वां दु ।
Go out from this place.,थ्व थासं पिहां हुँ ।
Please go out from this place.,थ्व थासं पिहां झासँ ।
I went to eat rice.   ,जि जा नः वना ।
I did not know why he left.,व छाय वन जिं मस्यू ।
I did not know the reason for his leaving.,व वंगुया हुनि जिं मसिल ।
I took the thrash outside.,जिं फोहर पिने त्व:ता ।
What do you want to do in future.,छिं भविष्यय् छु यायेगु बिचाः यानादिया ?
There is a better way you could write the story.,छिं बाखं च्वयेत बांलाःगु तरिका दु ।
There is a better way to write a story.,बाखं च्वयेत बांलाःगु लँपु दु ।
Why are you going mad ?,छ छाय् वँय् चाया च्वना ? 
The foster mother of Buddha was the first lady to get membership to the Bhikkshuni Sangha.,बुद्धयात मचाबलय् ब्वलंकूम्ह मां भिक्षुणी संघया न्हापांम्ह मिसा दुज: ख: l   
Prevention is better than cure.,ल्वय्‌या निदान सिबय् नं रोकथाम यायेगु कुतः बांलाः जुइ । 
But he does not know how to do it properly as his wife. ,अय्‌नं वय्‌कलं वय्‌कःया कलातं थें पूवंक ज्या गथे यानाः यायेगु धकाः मस्यू ।
That technique faded mouth.,थ्व प्रबिधिं यानाः ख्वाः बुलुया वन ।   
The post office is next to the railway station.,हुलाक अड्डा रेल स्टेसन लिक्कसं दु l  
Most of the old Buddhist manuscripts were written in ink made of gold. ,आपालं पुलांगु बुद्ध धर्मग्रन्थ लुँयागु मसिं च्वयातःगु ख: ।
"I just took shower, my hair is still wet.","जि नकतिनि म्वः ल्हुया, अझ नं सँ प्याःनि ।"
I will let you know after booking the ticket.,टिकट बुकिङ याये धुंकाः जिं छन्त खबर बी ।
"This fish is poisonous, someone can die eating this.","थ्व न्या बिष दुम्ह खः, थ्वयात नल धाःसा सुं नं सीफु ।"
They joined the painting class.,इपिं चित्रकला कक्षाय् सहभागी जुल ।
"For this job, I need to work hard in the class.","थ्व ज्याया निंतिं, जिं अझ नं थुगु क्लासय् तच्वकं मिहनत याये मानि ।"
Children become smart if we teach them Philosophy. ,मस्तय्‌त दर्शनशास्त्र ब्वंकल धाःसा इपिं चलाख जुइ ।
I don't like that sort of comedy very much.,जितः अज्याःगु ख्याः याइगु तसकं मयः । 
I don't like that sort of comedy very much.,जित: अज्याःगु ख्याः तच्वकं मयः ।
It's going to rain soon.,याकनं हे वा वइन ।
Recently Win Me.   ,आः जितः त्याका दिसँ ।
How to grow plants from cuttings ?,माँयात कचापाखें गथे याना: ब्वलंकेगु ?
Let me see that.,जितः व छकः स्वये ब्यु ।
Are you asking me to create a new account?,छं जितः न्हूगु खाता चायेकेत धयागु ख: ला ?
"This is a miracle we all need, which we all have been waiting for today.","थ्व छगू झी सकसितं माःगु चमत्कारिक आवश्यकता खः, थुकियात झीसं थौं तक पियाच्वना ।"
Buddhism was developed six hundred years before Christ.,बौद्ध धर्म क्राइस्ट स्वयां ६०० दँ ह्यः विकास जूगु ख: ।
Sorry I’m busy today.,"माफ यानादिसँ, थौं जि लिमलाः ।"
Use of mask is compulsory in this place.,थ्व थासय् मास्क छ्यलेगु अनिवार्य खः ।   
Regularly wash your hand.,छिगु ल्हाः बरोबर सिलादिसँ ।
Situation of Covid in Nepal is getting slow.,नेपालय् कोविडया अवस्था म्ह्व जुया वनाच्वन ।
New Coron Virus variant is increasing.,न्हूगु कोरोना भाईरस भाईरेन्त अप्वया वनाच्वन ।  
In Nepal people effected by Corona is getting higher but the recovery is satisfactory.,नेपालय् कोरोनां प्रभावित जूपिं अप्वया वनाच्वन अय्‌सां ल्वय् क्वलाःपिनिगु ल्याः सन्तोषजनक खनेदु । 
On an average 10-12 people affected by Corona are dying in Nepal.,औसतय् नेपालय् कोरोनां थ्यूपिं १०-१२ मनूत सिनाच्वन ।
The death rate in Nepal among Corona effected people are very low compare to last months.,कोरोना भाइरसया संक्रमणं नेपालय् सीपिनिगु ल्याः वंगु लाय् सिबय् तसकं म्ह्व खनेदु ।
The flower is in consistence.,थ्व स्वां बांलाक मिले जू ।
My house was destroyed by the earthquake.,जिगु छेँ भुखाचं स्यंकल । 
What do you want to know?,छितः छु न्यने मास्ति वः ?
What else do you want to know?,छं छु खं सीके मास्ति वः ?
Happy Birthday!,बुन्हिया भिंतुना ।
Thank you!,सुभाय् !
This is my earning.,थ्व जिगु कमाई ख: ।
I like this pen.,जितः थ्व कलम य: ।
I went to my house.,जि जिमि छेँय् वना ।
Please go outside in the evening.,सन्याकाः इलय् पिहां झासँ ।
I live next door to your office.,जि छंगु ज्याकुथि लिक्कसं च्वनागु दु ।   
My car is expensive. ,जिगु कार थिकेगु ख: ।
I like the lady next door. ,जितः छेँ लिक्कसं च्वंम्ह मिसा य: ।
I saw you in the hall.    ,जिं छितः हलय् खना ।
The earthquake destroyed many houses.,भ्वखाचं आपालं छेँ स्यंकल ।
Do not harm your relatives.,थःथितिपिन्त दुःख बी मते ।
I got admission the music school.,जि संगीत ब्वनेकुथी भर्ना जुइखन ।
I got admission in the medical school.,जि मेडिकल स्कूलय् भर्ना जुइखन ।
I am looking old song but do not know to search it.,जिं पुलांगु मे मालाच्वना अय्‌सां थ्व गथे याना मालेगु मस्यू ।   
He is having lunch in the cafe.,व क्याफेय् लञ्च नयाच्वंगु दु ।
The car is not expensive.     ,थ्व कार थिके मजू ।
They are going to market.,इपिं बजार वनाच्वन ।
I am going my house.     ,जि जिमि छेँय् वनाच्वना ।
I hope she is okay.    ,जिं आशा याये वयात सकतां पाय्‌छि जू ।  
I am going to swim.   ,जि लाल कायेत वनाच्वना ।
Ram died all of a sudden.       ,राम आकाझाकां सित ।
Can you give me Rs. 500 for a week.,छवा:या नितिं छिं जितः ५०० तका दां बियादी फै ला ?
"Anyone can see, nothing really matters to me.","न्ह्याम्हस्यां स्वयेफु, धात्थें जितः छुं मपाः ।"
Are you learning to drive the car?,छिं कार चले यायेगु स्यना च्वनागु खः ला ?
Why are you not working today?,छि थौं छाय् ज्या याना मदियागु ?
I like to have a cat.   ,जित: छम्ह भौचा दइगु य: ।
It is raining today.     ,थौं वा वयाच्वंगु दु ।
Did you get admission in the hospital?,छि अस्पतालय् भर्ना जुया दियागु खः ला ?
I like to learn my mother tongue.,जिगु मांभाय् स्यने जितः य: ।
They were not  admitted to the music class.,इपिं संगीत कक्षाय् भर्ना मजुल ।
I started singing after watching the movie.,संकिपा स्वयेधुंकाः जिं मे हालेगु सुरु याना ।
The police station is next to the hospital.,अस्पताल लिक्क प्रहरी चौकी दु l
"Instead, they demand ""How old is he?","उलि जक मखु, इमिसं धाल ""व ग्वःदँ याम्ह ?"""
I am hungry.   ,जितः नये पित्यात ।
He left the bank after getting cash.,ध्यबा कायेधुंकाः व बैंकं पिहां वन ।
My home.    ,जिगु छेँ ।
I love my mother tongue.,जितः जिगु मांभाय् प्रति मतिना याना ।
We have two cows.     ,जिमिके निम्ह सा दु ।
I used to play soccer.   ,जि सोकर वरोबर म्हिता ।
Apple is red.   ,स्याउ ह्याउँसे च्वं ।
Do not bring any shoes.    ,गुगुं नं लाकां हयादी मते ।
This is my new article.    ,थ्व जिगु न्हूगु च्वसु खः ।
"I don't know, but I think I know who she is.","जिं छुं मस्यू, अय्‌सां जिं स्वयेबलय् जिं व सु ख: धकाः म्हस्यू ।  "
Uber hurts their business.,युबरं इमिगु ब्यापार स्यंकी ।
I tend to hold the match for long I always got burned.,जिं म्याचयात ताहा: तक दिका जितः न्ह्याबलें जलन जुइगु खः ।
"So, please, once more, make sure that all details have been taken into account.","उकिं, कृपायाना, छकः हाकनं, ब्याक्क विवरण पक्का यानाः खाताय् तयादिसँ ।"
Is she your sister? Yeah she is.,"व छिमि केहें ख: ला ? ख:, व हे ख: l"
Do you often change your mobile phone?,छु छिं बरोबर मोबाइल फोन हिला दिया ला ? 
"My speaking is good, but I have to work hard on my reading and writing!  ","जि न्ववायेगु बांलाः, अय्‌सां जिगु ब्वनेगु व च्वयेगुया नितिं आपालं मेहनत याये मानि । "
They were at home in Sao Paulo.,इपिं साओ पाउलोया छेँय् दु । 
It was a nice game. ,थ्व तसकं यइपुगु कासा खः ।
I save money repairing the TV.,जिं टिभी मर्मत यानाः ध्यबा बचे याना ।
I like to have pork.    ,जितः बंडेलया ला य: ।
The TV is working good.  ,टिभी बांलाक ज्या यानाच्वंगु दु ।
My grandfather is coming to visit us soon.,जिमि अजा जिमिथाय् याकनं हे झायादी त्यंगु दु ।
Interested in a three-month expense paid journey ?,स्वलाया खर्च पुलेधुंकूगु यात्रा याये न्ह्याः ला ?    
It was a nice game.,थ्व तसकं यइपुगु कासा खः ।
I got admitted in the hospital today. ,जि थौं अस्पतालय् भर्ना जुया |
Intermediate Shutdown: Less Than Three Days.,इन्टरमिडिएट सतडाउन : स्वन्हु सिबय्  म्ह्व ।
Are you coming to see me in my office today ?,छु छि जिगु ज्याकुथिइ जितः नाप लायेत झायादी त्यनागु खः ला ? 
Many houses got badly destroyed by the Earthquake. ,भुखाचं आपालं छेँ बांमलाक्क स्यंकल ।
I like to study Buddhist philosophy.,जित: बौद्ध दर्शनया अध्ययन याये य: |
I am not going to play football today.,जि थौं फुटबल कासा म्हिते त्यनागु मदु ।
"If I saw her, I should speak to her.","जि वयात खंसा, जि वलिसे खँ ल्हाये माली ।"
I got a new job.     ,जितः न्हूगु जागिर दत ।
Think positively.   ,सकारात्मक बिचाः या ।
Do not go outside because it is raining soon.,पिहां वने मते छाय्‌धाःसा आः याकनं वा वयेत्यंगु दु ।
Intermediate Shutdown: Less Than Three Days.,इन्टरमिडिएट सतडाउन : स्वन्हु सिबय्  म्ह्व ।
Are you coming to see me in my office today ?,छु छि जिगु ज्याकुथिइ जितः नाप लायेत झाया दीगु खः ला ?  
Many houses got badly destroyed by the Earthquake. ,भुखाचं आपालं छेँ बांमलाक्क स्यंकल ।
I like to study Buddhist philosophy.,जित: बौद्ध दर्शनया अध्ययन याये य: |
He writes a story.                           ,वं बाखं च्वइ ।
He is writing a story.   ,वं बाखं च्वयाच्वन ।
He wrote a story.          ,वय्‌कलं बाखं च्वयादिल ।
Where did you go?                                   ,छि गन झायादिया ?
Do you know me ?         ,छिं जितः म्हस्यू ला ?  
I do not know you ?   ,जिं छन्त म्ह मस्यू ।
This is my coat.           ,थ्व जिगु कोत खः ।
It is a word of emphasis.       ,थ्व ब: बीगु खँग्वः ख: ।
A beautiful woman.  ,बांलाम्ह मय्‌जु ।
I like to marry with a beautiful woman.,जितः बांलाःम्ह मय्‌जु लिसे ब्याहाः याये य: ।
Park ,ख्य:
Marriage ,इहिपाः
Soccer ,भकुंग्वारा
Divorce ,पारपाचुके
We are going to the painting competition.,जिपिं चित्रकला धें धें बल्लाः कासाय् ब्वति काः वनेत्यना ।
Earthquake,भुखाय्
How long have you been here?,छ थन गुलि न्ह्यवंनिसें च्वँच्वनागु खः ?
How long have you been here?,छ थन गुब्लय् निसें च्वँच्वनागु ?
They are fighting with their tanks and their bombs.,इपिं इमिगु ट्यांक व इमिगु बम लिसें ल्वानाच्वन । 
Any excuse will serve a tyrant.,गुगुं नं माफिं यानाः अत्याचारी शासकतय्‌त सेवा जू वनी । 
I want to eat chicken. ,जितः खायागु ला नये मास्ति वल ।  
It is all right.       ,थ्व पाय्‌छि हे खः ।
She said I am beautiful.,वं धाल जि बांलाः ।  
I study Culture and Communication.,जिं संस्कृति व सञ्चार अध्ययन याना ।
Where did you go primary school?,छ गन प्राथमिक ब्वनेकुथिइ आखः ब्वना ?        
Where was I born?,जि गन बूगु खः ?
This may be an interesting story.,थ्व बाखं रूचि दुगु जुइमाः ।
I do not know how to drive a car.,कार गथे यानाः चले यायेगु धाः जिं मस्यू । 
I like to go for a walk.,जितः न्यासि वने मास्ति वः ।     
Something went wrong.,छुं मखु थें जुल ।
The minimum that can be sold is 4.,म्ह्वतिं नं गुगु मी फैगु खः व ४ खः ।
,
Do not forsake wisdom.   ,बुद्धियात गुब्लें परित्याग याये मते ।
This is my cap.      ,थ्व जिगु तपुलि खः ।
Give me a cup of milk.       ,जितः छगु कप दुरू बियादिसँ l
I want to go movie.              ,जितः प्याखं स्वः वने यः ।
I like this woman        ,जितः थुम्ह मिसा यः ।
I am a beggar.            ,जि छम्ह फ्वगिं खः l
This is my hut.           ,थ्व जिगु भिखाछेँ खः ।
This is my shop.        ,थ्व जिगु पस: खः ।
He is a wealthy person.  ,वय्‌क त:मिम्ह मनू खः l
He is a famous person.  ,वय्‌कः नांदंम्ह मनू खः l
He is a clever person.    ,वय्‌कः छम्ह चलाखम्ह मनू खः ।
I like boiled egg for breakfast today.,जितः थौं सुथसिया कौलाय् मनातगु खेँय् य: l
The music school is near the police station.,संगीतया ब्वनेकुथि प्रहरी परिसर लिक्कसं दु ।
Can we give ourselves one more chance?,छु झीसं झीत छगू अप्वः मौका बी फै ला ?
Why is she wearing completely white dress?,वं छाय् पूवंक तुयूगु वसः फिनातःगु खः ?
It is the computer the best invention that helps technological development.,कम्पुटर छगू भिंगु आविष्कार खः गुकिं यानाः प्राबिधिक विकासयात ग्वाहालि याइ ।
I believe she still mourns your late wife.,जितः विश्वास दु वय्‌कलं अझ नं छिगु मदुम्ह कलाःयात ल्वःमंके मफुनि ।
To plug with material A36.,मेटेरियल A ३६ लिसे प्लग यायेत
Rock climbing seriously/ how often do you go rock climbing.,ल्वहंब्व गयेगु गम्भिरता पूर्वक / अक्सर छि ग्वःक्वः ल्वहंब्व गयेत झाया ?  
You should see four.,छं प्यंगू खनेमाः ।
complete the sentences about louis that has or doesn't.,दै व दैमखु खँग्वः छ्यलाः लुइसया वारे खँपु पूवंका दिसँ ।
The screams all sound the same.,चिल्लाय् दंगु सः सकतां उत्थें जुइ ।
We also find that bills with larger numbers of cosponsors enjoy higher success rates.,जिमिसं नं सीका कि यक्व ल्याखय् सह-प्रायोजकया बीलय् यक्व सफलता दर प्राप्त जुइ । 
"Talk about the good old days, lol.","न्हापाया बांलालगु न्हियागु वारे खँ ल्हानादिसँ, लोल ।"
We would like that very much.,जिमिसं वयात तसकं ययेका ।
This should also be considered during equipment selection.,मालवस्तु ल्ययेबलय् थुकी नं बिचाः याये माः । 
After school once a week on Wednesdays.,वालय् छन्हु बुधबार स्कुल लिपा ।
Have a wonderful Saturday and I hope that we can communicate again soon.,अजूचाइपुगु सनिबार हनादिसँ अले झीसं हाक्कनं सहलह ब्याके दै धकाः जिं भलसा कयाच्वना ।
It didn't matter that Dan had been cheating on her for three years.,थुकिं छुं मपाः छाय्‌धासा डाँनं स्वदँनिसें वयात धोखा बियाच्वंगु ख: l   
Fighting games make my hands cramp up.,ल्वायेगु कासा म्हिताः जिगु ल्हाती कथिं दाः थें जुल ।  
two behavioral health specialists in every classroom.,हरेक कक्षाक्वथाय् निम्ह व्यवहारिक स्वास्थ्य विशेषज्ञ ।
"ok, we will choose the question for this order.","ज्यू, जिमिसं थुगु उजंया निंतिं न्ह्यसः ल्यये ।"
Proceed to evaluate waste in the work process.,ज्या यानावःगुली सितिं वनाच्वंगु सामानयागु मूल्यांकन न्ह्याकादिसँ ।
Hello and welcome to the Speaking and Listening Course for Lower Intermediate English students.,ज्वजलपा अले क्वय्‌या इंटरमीडिएट अंग्रेजी ब्वनामितय् निंतिं न्ववायेगु व न्यनेगु कोर्सय् लसकुस दु । 
on the premise of his company. ,वयागु कम्पनियागु लागाय्
Their shape can be everything from rectangular to cylindrical.,थुकियागु बां आयताकार निसें त्याःचा चिंगु बांतक न्ह्यागु नं जुइफै । 
They are our neighbor.,इपिं जिमि जःलाखःला खः ।
I will go and went.,जि वनेगु व वना ।
sleep,न्ह्यलं ब्वाये ।  
they always make me laugh.,इमिसं न्ह्याबलें जित: न्हीकी ।
for the restfulness by night in the dark.,चान्हय् ख्युंबलय् आरामया निंतिं ।
I like to go for an walk in the mountain.,जितः गुँइ न्यासि वने यः ।
He took his son to the park.,वं वया काय्‌यात ख्यलय् यंकल ।
He has bought a car.   ,वं कार न्यात l  
Do you want to have coffee?,छितः कफि त्वने मास्ति वः ला ?
Plastic is another synthetic material.,प्लास्टिक छगू मेगु सिन्थेटिक सामाग्रि खः ।  
I want to go to school.,जितः ब्वनेकुथिइ वने मास्ति वः ।
What can I do?             ,जिं छु याये फु ?
My father married my mother sixty five years ago.,जिमि अबुं जिमि मांयात खुइन्यादँ न्ह्यः इहिपाः यानादीगु खः । 
I do not understand.    ,जिं मथू ।
I want to go to school.    ,जितः ब्वनेकुथी वने मास्ति वः ।
Buddhist manuscript are found in British museum.,बेलायतया म्युजियमय् बौद्ध हस्तलिखित ग्रन्थत दइ ।
How far are you going?      ,छि गुलि तापाक्क झायादी त्यनागु ?
They went to school.       ,इपिं ब्वनेकुथी वन ।
Shafts shall be parallel.  ,शाफ्ट समानान्तर जुइमाः ।
"If you are available in the morning, it might be good for me.",छितः सुथय् नापलाये दःसा जितः तसकं बांलाइ ।
Most of his childhood he traveled with his mother.,वया अप्वः धयाथें मचासू इलय् मांनाप चाःहिल ।
He traveled with his mother for most of his childhood.,अप्वः धया थें मचासू ईया निंतिं व वया मांनाप चाः हिल । 
Ignore,ध्यान बी मते ।
"Consume sweets, salty snacks and alcohol in moderation.","चाकुमरि, चिसवाः वःगु स्नाक व अय्‌लाः म्ह्व नयेगु या ।  "
"I bought the game and just wanted to record for my YouTube channel, this content is mine.","जिगु यूट्यूब च्यानलय् रिकर्ड याये मास्ति वःगुलिं जिं छगू कासा न्याना, थ्व सामाग्रि जिगु खः । "
Which of these would be the most likely cause of a hijacked email device?,थ्व मध्यय् गुगु हाइजाएक जूगु इमेल उपकरणया दकलय् सम्भावित हुनि जुइ ?
"Everyone's public key is published, while the private key is kept secret.","सकसियागु सार्वजनिक ताःचा ब्वयातःगु जूसां, नीजि ताःचा गोप्य तयातइ ।  "
"All Saints, November 1.","दक्व महात्मात, नोभेम्बर १ "
I'm interested if you would consider helping to coach the team.,छिं टीमयात प्रशिक्षित यायेत ग्वाहालि यायेगुली बिचाः यानादिल धाःसा जि इच्छुक जुइ । 
Does she start at half past 2?,छु वय्‌कलं निताःत्या इलय् ह्याका दी ला ?
THE METHODS OF FIRE MAKING. 401,मि दयेकेगु तरीका ४०१ ।
Use the following words: a.,थन न्ह्यथना तःगु खँग्वः छ्यलादिसँ ए. 
Use the following words: a.,क्वय् न्ह्यथना तःगु खँग्वः छ्यलादिसँ ए. 
Robots are subsidiary to human beings.,रोबोट मनूतय् गुहालिमि ख: ।
I am coming to meet you in your Office.,जि छन्त नाप लायेत छंगु ज्याकुथिइ वयाच्वना ।
My friend's leg is broken.,जिमि पासाया तुति त्वःधुल l
I am not feeling well.,जित: म्हसुकु मदु । 
I cannot sleep.,जि द्यने मफुत l
Cannot sleep.                       ,न्ह्यः मवः ।
I feel dizzy.        ,जित: इकुसे च्वन ।
I feel cold.,जित: सेय्‌खं चाः ।
I feel nauseous.     ,जित: ल्ह्वये वइ थें जुल ।
It is difficult to breath.               ,सासः ल्हायेत थाकुल ।
Where does it hurt.         ,गन स्या: ?
Does it hurt here?      ,थन स्या: ला ?
It is very hot today.,थौं तसकं तांन्व: l  
It was cold yesterday.,म्हिगः चिकुसे च्वंगु खः ।
It snows sometimes.,गबलें गबलें च्वापु गाः l
Lightning struck a tree.,सिमाय् मल: जूवल l
I want to learn to play the drum.,जित: धीमे बाजं थायेगु सयेके मास्ति व:l
How long does it take to learn?,सयेकेत गुलि ई काइ ?
Where can I find a teacher to teach me?,जित: स्यनीम्ह गुरु जिं गन लुइके फइ ?
How much for a kilo meat?,ला छगू किलोया गुलि ?
I want only lean meat.,जितः नलू जक माः ।
I do not want any fat.,जितः गुगुं दा: मयः ।
There is somebody to see you.,छन्त नापलायेत सुं वल l   
Do you have pumpkins?,छिकेय् फसि दु ला ?
I do not have smaller bills.,जिकेय् चा:चू मदु l
Is this water good to drink?,थ्व ल: त्वने ज्यू ला ?
Please give me a cup of black tea.,जित: छगू कप हाकुगु च्या बियादिसँ l
Please give me a cup of tea without sugar and milk.,जित: चीनी व दुरू नितां मदुगु छगू कप च्या बियादिसँ l 
"Do you have something to eat, I am hungry.","जित: नये पित्यात, छिकेय् नयेगु छुं दु ला ?"
What is the name of this place?,थ्व थाय्‌या नां छु ख: ?
Where can I find a bus to Kathmandu?,येँय् वनेगु बस जिं गन लुइके फइ ?
How much do I pay for the ticket to Kathmandu?,येँ वनेगु बसया टिकटया निंतिं जिं गुलि पुले माली ?
He took his son.      ,वं वया काय्‌यात यंकल ।
This is not your home.,थ्व छिगु छेँ मखु ।
Use filter water for drinking.,त्वनेत फिल्टरया लः छ्यलादिसँ ।
Are you busy now?    ,आः छि लिमलाः ला कि ?
I started working after a weeklong rest.,वाः यंक आराम कयाः जिं ज्या सुरु याना ।
The earthquake               ,भुखाय् 
Where are you going?,छ गन वने त्यनागु ?
I am going out.  ,जि पिने वनाच्वना । 
